TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-152118,DT037487,Handling UnsupportedCallbackException in the CuramLoginModule for WebLogic Server with SSO,CEF,Technical Services,Security Management,Infrastructure,"*Issue Description*
In a WebLogic SAML Single-Sign-On (SSO) deployment where Cúram is configured to run in identity-only authentication mode, a login failure could occur during user authentication.
In this configuration, authentication is initiated using SSO and does not include a traditional password. However, when multiple WebLogic authentication providers are configured in the login module stack, a downstream authentication module attempts to perform a password based authentication callback check.
The CuramLoginModule is unable to handle this callback and throws an UnsupportedCallbackException, causing the login process to fail. As a result, users who successfully authenticate with the external Identity Provider are unable to access the Cúram application and are blocked at login despite having valid SSO credentials.
*User Interface Impact*
No
There is no change to the user interface. The impact is observed as a backend authentication failure that prevents successful login, rather than a change to any screen or user visible workflow.
*Steps to Reproduce*
# Configure a WebLogic Server environment with SAML Single-Sign-On (SSO) enabled using an external Identity Provider.
# Configure Cúram to run in identity-only authentication mode.
# Initiate login to the Cúram application using SSO.
# Issue: After successful authentication at the Identity Provider, Cúram fails to authenticate the user.

*Resolution*
The CuramLoginModule has been updated to correctly handle authentication flows within a WebLogic SSO environment"
SPM-153284,,Update the version of the Apache derby JAR file to a later version,Third Party Updates,,,,"The Apache Derby API released under the Apache License is a pure Java relational database engine using standard SQL and JDBC as its APIs. It is used in the Cúram product as part of the client application build infrastructure. 
The version of the derby library has now been updated from 10.14.2.0 to 10.14.2.0-1. The new version contains some minor defect fixes. As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramSDEJ/lib/third&#95;party&#95;version.properties - the version of the derby JAR file has been updated.
* CuramCDEJ/lib/ext/jar/derby-10.14.2.0-1.jar  - new JAR added. 
* CuramCDEJ/lib/ext/jar/derby-10.14.2.0.jar  - old JAR removed. 

We recommend that you update any references in custom scripts and other artefacts to point to the new version of the JAR file that is specified above.
"
SPM-153330,,Remove JAR files from the BIRT Viewer deliverable that are not used by the Cúram application,CEF,Business Intelligence and Analytics,,,"The Cúram BIRT Viewer is the BIRT Engine infrastructure component which executes BIRT charts and reports. This component wraps the open source BIRT Engine and is a Java Platform, Enterprise Edition application.
A number of changes have been made to the Cúram BIRT Viewer deliverable including the updating of a JAR file to a more recent version and the removal of a number of JAR files and plugins which were defunct and not required for the viewing of the BIRT reports delivered and utilized by the Cúram application. 
The changes include the following:
* CuramBIRTViewerWebContentWEB-INFlibaxis.jar - the version of this JAR file has been updated to org.apache.axis&#95;1.4.1.v20231107-0937.jar.
* CuramBIRTViewerWebContentWEB-INFlibaxis-ant.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFlibsaaj.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.derby&#95;10.11.1.1&#95;v201605202053.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.mysql.dbdefinition&#95;1.2.1.201712071719.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.postgresql.dbdefinition&#95;1.2.1.201712071719.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.postgresql&#95;1.3.1.201712071719.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.report.data.oda.excel&#95;4.8.0.v201806261756.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsuk.co.spudsoft.birt.emitters.excel&#95;4.8.0.v201806261756 - this complete directory has been removed. 

      This includes the removal of the following JAR files:
* dom4j-1.6.1.jar
* xmlbeans-2.3.0.jar

We recommend that you update or remove any references in custom scripts and other artifacts to the JAR files that are specified above.
"
